original,leet
Mad dog will surely put the liberals in mental hospitals. Boorah,/V\a|) d0g will s_r3ly put the liberals in m3ntal h0spita1s . Boorah
"And Trump continues his lifelong cowardice by not making this announcement himself.

What an awful human being .....","And T|2u/V\|> c0nt1n_3s his lifelong c0ward1c3 by not mak1ng this announcement himself . 

 What an @wf_l human be1ng ....."
"""while arresting a man for resisting arrest"".

If you cop-suckers can't see a problem with this, then go suck the barrel of a Glock.",""" while 4I2|23571|\|6 a m4|\| for resisting arrest "" . 

 If you co|> - 5u[|<3I25 ca n't see a problem with this , then g0 suc|< the I34I2|231 of a Glock ."
Tucker and Paul are both total bad ass mofo's.,Tucker and Paul 4r3 both total bad ass m0f0 's .
"I really wish the DP would bounce people trying to make a moral equivalence between Nazis and BLM. 


That kind of hateful BothSiderist garbage had got to stop. It's not even funny any more. 


Actual Nazis are marching in this country and killing people. And the response of some is ""but the blahs"". And the DP allows such posts to stay up, and the posters to continue posting. 


Ugly.","I r3ally w1sh the DP \/\/0_1|) bounce pe0p1e trying to make a m0ral equivalence between N4z1s and BLM . 


 That kind of hateful |307#51d3r157 64rb463 had 607 to 570|> . It '5 not 3\/3|\| f_nny any /V\oI23 . 


 Actual |\|42i5 4r3 /V\4|2[#in6 in this c0u|\|tI2j and killing |>30|>13 . And the |235|>on53 of some is "" but the blahs "" . And the DP allows s_ch posts to stay up , and the |>0s7eI2s to c0nt1n_e posting . 


 Ugly ."
Only a fool would believe that the MSM is not biased against this president.,0nly a ph001 \/\/0_1|) bel1eve that the /V\5/V\ 15 not b1@s3d against this president .
"NO !  There are no alternative facts. Go check for yourself. It is people like you, who have no idea what you are talking about that has gotten this State and Country into the mess it is in. People who think the Goverment, be it State or Federal, can spend the peoples money better than they can, is stupid and nonsensical. Politicians use taxes as Personal slush accounts to continue their carrers, buying votes from the lame and the lazy.","NO !   There 4I2e no alternative facts . 60 check for yourself . It is people like you , who have no 1|)3a what you are t41|<1|\|6 about that has gotten this State and [o_n7|2j into the /V\355 it is in . |>30|>13 who 7h1|\|k the 6o\/e|2/V\e|\|7 , be it 57473 or Federal , c4|\| spend the p30pl3s money b3tt3r than they can , is stup1d and n0ns3ns1c4l . Politicians _53 74xe5 as Personal sl_sh accounts to continu3 their carrers , b_y1ng vote5 from the l4m3 and the lazy ."
"the more you whine sore loser Artster

the more we enjoy your agony","the m0r3 you whine sore l0s3r Artster 

 the m0r3 we enjoy your a6o|\|y"
Just who  does the buffoon think he is representing?,Just who   does the buffoon think he 15 representing ?
because the Oregon state school board is comprised of 100% political correct fools who think throwing money at education is the solution to the incompetent stupidity this board inflicts on our schools.,because the 0|2360|\| st4t3 5c#001 board i5 [o/V\|>I2153|) of 100 % |>01171c41 correct fools who th1nk throwing /V\0|\|3j at 3d_c4t10n is the solution to the incompetent stupidity this board inflicts on our schools .
"IRT Marilyn
what a completely stupid letter about a serious topic in Syria.   Using this to make Your political point?   you have nothing better here?   I don't mind if you don't like Trump but suggesting this is some ""timed"" is ridiculous..","1RT Marilyn 
 what a c0mpl3t3ly st_p1d l3tt3r about a serious t0p1c in SjI214 .    U5in6 this to /V\4|<3 Your political point ?    you have nothing better here ?    I do n't mind if you d0 n't 11k3 Trump but suggesting this 1s some "" timed "" is ridiculous .."
"""Watch people die from taking away their healthcare""

DING DING DING!  Winner of stupid post of the day award!",""" Watch |>30|>13 die from taking @w4y their h3althcar3 "" 

 |)1|\|6 DING DING !   Winner of 57_|>1|) p05t of the day award !"
"tsboy>  Klastri is a liar and a pretty good one.  Tried to convince me that I was a liar, when I called him out being an outright liar, who is always twisting the facts.  You gott'em by he ""whatevers.""","ts|30j >   |<l457I21 is a liar and a pretty good one .   Tried to convince me that I \/\/4s a liar , when I [a113|) him out being an outright 11aI2 , who i5 always twisting the facts .   You gott'em by he "" wh@t3v3rs . """
The tRump supporters don't give a damn.  Their mantra was anyone but Hillary.  Now tRump's going to suck the life out of them.  Here's your shovel now dig six feet under.,The tRump supporters do n't give a d4/V\|\| .   Their /V\4|\|7|24 was anyone but Hillary .   N0w tRump 's g01|\|g to s_[|< the 11fe out of them .   Here 's your shovel n0w dig six feet under .
"Dunleavy. Another small-minded, gargantuaned-egoed and self-proclaimed fumblementalist 'prophet' presuming to bestow his superior if not Supreme knowledge upon the rest of us. We who have been watching his antics over the last several legislative sessions know better, methinks.
Damn but the Rethuglicans have been bombing us with fecal ferrets and shit-weasels since gerrymandering this state and destroying representative democracy back in 2010. Just look at the state of the state today....","|)_n1e4\/j . Another small - minded , gargantuaned - egoed and self - procl@imed fumblementalist ' |>|20|>h37 ' presuming to |33570w his su|>eri0r if not S_|>|2e/V\e knowledge upon the rest of us . We who hav3 b33n watching his antics over the last s3\/3r41 l36i5l47iv3 535510n5 |<n0\/\/ I33773I2 , methinks . 
 |)amn but the Rethuglicans #a\/3 b33n b0mb1ng us with fecal ferrets and s#it - weasels since g3rrym4nd3r1ng this st@te and |)estroj1|\|g repr3s3ntat1v3 |)3/V\0cI24cj |34[|< in 2010 . ]us7 look at the 57473 of the st4t3 today ...."
What an ugly orgy.  Shame on Fish and Game for allowing this.  How many ways can we devise to exploit a resource...............shame on us.,What an _gly 0|26j .   Shame on Fish and Game for @ll0w1ng this .   How many w@ys can we devise to 3><|>1017 a res0_rce ............... 5#4me on us .
"Stupid is what stupid thinks (and says).

Cheers,
Russian Troll","Stupid 1s what stupid thinks ( and 54j5 ) . 

 Cheers , 
 Russian 7I2011"
"Kind of like you and your small-minded, repetitive and utterly banal drivel.","Kind 0ph like you and your small - m1|\||)e|) , repetitive and _tt3rly b4n4l drivel ."
"""Trump said “I’ll tell you about that maybe sometime..""
I predict that Trump will renege on that comment like he has done on so many of his ""promises"".
Trump is the Liar and Thief of the USA.",""" Tr_mp 5a1|) “ I ’ll t3ll you about that /V\4jbe s0m3t1m3 .. "" 
 I pI2edic7 that Trump will |2ene6e on that [o/V\/V\3|\|t like he has done on so /V\a|\|j of his "" promises "" . 
 7r_/V\p 15 the L14r and Thief of the _S@ ."
tens years ago i contacted the PDR and suggested that the time might be good to work with alaska on building a gas line.. alaska rejected them without even consideration despite china being flush with cash and hungry for gas.. and set up another infamous boondoggle.. the transcanada-exxon rip off that we are still paying for and have yet to receive anything of value.. hundreds of millions of dollars on studies.. and buyouts.. i hope china says f you alaska.. you are nothing but ignorant people..,tens ye4rs 460 i c0nt4cted the PDR and s_ggested that the time might be good to w0rk with 4l@sk4 on b_ilding a gas l1ne .. alaska rejected them without 3v3n consideration despite chin@ being flush with cash and hungry for gas .. and s37 up another infamous boondoggle .. the transcanada - 3xx0n I21|> off that we 4|23 st1ll paying for and have yet to rece1ve anything of value .. hundreds of millions of dollars on 5tu|)ie5 .. and buyouts .. i hope china says ph you alaska .. you are nothing but 16|\|o|2a|\|7 people ..
Headline Porn!,#34|)11|\|3 Porn !
"Bunch of inefficient goons. Can't believe why our government is handing billions of our hard earned monies on a plate to these ineffective, non-competitive, useless executives in Bombardier. We would have got much better ROI if our influence meddling Liberal government invested these monies in new start-ups, techno companies an in new innovations employing millions of our young capable, smart  individuals. What a pity","I3_nch of in3ffici3nt goons . Ca n't b3l13v3 why our 60v3rn/V\3n7 is handing billions of our h@rd 3ar|\|3d monies on a plate to these ineffective , |\|0|\| - c0mpetitive , us3l3ss 3x3c_tiv3s in B0mb@rdi3r . We w0_ld have got much better ROI if our influence meddl1ng 11b3|241 government 1|\|\/3573|) these /V\0|\|135 in n3\/\/ start - _ps , techno [0/V\|>4|\|ies an in new i|\||\|0\/47i0|\|5 employing /V\i11i0|\|5 of our young c4p@bl3 , smart   1|\|d1\/id_a15 . What a p1ty"
"Ok, Turkish embassy in Ottawa, here's my insult against Erdogan. He's a low-life, fascist dictator. He should be overthrown and dumped into the Black Sea. Now, try sending out your goons to do something about it.","Ok , T_rkish embassy in Ottawa , here '5 my insult against 3I2|)o64|\| . He 's a low - 11ph3 , fascist dict4t0r . He sho_ld |33 overthrown and d_mp3d into the |314c|< S3@ . Now , tI2j sending out your 600|\|5 to do something about it ."
The Law has every freedom to be an asss!,The Law has every free|)o/V\ to |33 an @sss !
